id;pytanie
1;1. Proszę wyjaśnić swojemu klientowi, co to jest działalność ubezpieczeniowa oraz czy istnieją ograniczenia dotyczące działalności, jaką może prowadzić zakład ubezpieczeń. Proszę także wskazać swojemu klientowi przykłady czynności ubezpieczeniowych, zgodnie z ustawą o działalności ubezpieczeniowej i reasekuracyjnej.
2;2. Proszę wyjaśnić swojemu klientowi pojęcie „outsourcingu” w ustawie o działalności ubezpieczeniowej i reasekuracyjnej oraz udzielić informacji prawnej na temat podstawowych zasad i ograniczeń w zakresie outsourcingu w działalności ubezpieczeniowej.
3;3. Proszę przedstawić swojemu klientowi oraz krótko scharakteryzować rodzaje ubezpieczeń, określone w przepisach Kodeksu cywilnego oraz w załączniku do ustawy o działalności ubezpieczeniowej i reasekuracyjnej.
4;4. Proszę udzielić swojemu klientowi informacji prawnej na temat podstawowych zasad i form prowadzenia działalności ubezpieczeniowej na terytorium Polski przez krajowy zakład ubezpieczeń, a także wskazać uwarunkowania prawne rozpoczęcia działalności ubezpieczeniowej przez krajowy zakład ubezpieczeń.
5;5. Proszę wymienić i scharakteryzować formy prawne prowadzenia działalności ubezpieczeniowej na terytorium Polski przez krajowe i zagraniczne zakłady ubezpieczeń oraz wskazać podstawowe zasady rozpoczęcia takiej działalności. 
6;6. Proszę przedstawić swojemu klientowi, jakie ma obowiązki zakład ubezpieczeń po otrzymaniu zawiadomienia o wystąpieniu zdarzenia losowego objętego ochroną ubezpieczeniową oraz udzielić mu informacji o  prawnej na temat podstawowych zasad dotyczące tzw. postępowania likwidacyjnego, w zakresie określonym ustawą działalności ubezpieczeniowej i reasekuracyjnej.
7;7. Adam S. – agent ubezpieczeniowy wykonujący czynności agencyjne na rzecz jednego zakładu ubezpieczeń, podczas rozmowy z Janem P. zawierającym za pośrednictwem tego agenta umowę ubezpieczenia AC swojego samochodu osobowego, przedstawił Janowi P. ofertę zawarcia innej umowy z tymże ubezpieczycielem, dotyczącej bardzo korzystnej lokaty środków pieniężnych. Jan P. zainteresował się tą ofertą i za namową agenta wpłacił mu 10.000,00 złotych. Fakt wpłaty został udokumentowany pokwitowaniem wypisanym na druku firmowym ubezpieczyciela, które to pokwitowanie zostało wręczone Janowi P. Po pewnym czasie okazało się, że Adam S. przywłaszczył sobie te pieniądze. Proszę przedstawić swoją ocenę odpowiedzialności cywilnej Adama S. oraz ubezpieczyciela, którego Adam S. był agentem, w związku z pobraniem od Jana P. kwoty 10 tys. zł.
8;8. Proszę wyjaśnić swojemu klientowi, na czym polega tajemnica ubezpieczeniowa i jaki jest jej zakres oraz podać przykładowe wyjątki.
9;9. Umowa ubezpieczenia jako umowa adhezyjna. Proszę określić charakter ogólnych warunków ubezpieczenia i ich podstawowe elementy. 
10;10. Proszę udzielić swojemu klientowi informacji prawnej – kto, kiedy, w jakim terminie oraz w jaki sposób może odstąpić od umowy ubezpieczenia, a także wyjaśnić charakter tego uprawnienia. 
11;11. Proszę scharakteryzować swojemu klientowi podstawowe dokumenty związane z zawarciem umowy ubezpieczenia. Proszę wyjaśnić w szczególności, jaki charakter ma polisa ubezpieczeniowa.
12;12. Proszę udzielić swojemu klientowi informacji prawnej dotyczącej zakresu oraz zasad wykonywania nadzoru nad zakładem ubezpieczeń.
13;13. Proszę wyjaśnić klientowi, w czym tkwi istota towarzystwa ubezpieczeń wzajemnych jako szczególnego, odrębnego i samodzielnego podmiotu uprawnionego do prowadzenia działalności ubezpieczeniowej, a także przedstawić swojemu klientowi zasadnicze cechy, odróżniające towarzystwo ubezpieczeń wzajemnych od spółki akcyjnej, prowadzącej działalność ubezpieczeniową. 
14;14. Proszę wyjaśnić swojemu klientowi, którym jest zagraniczny zakład ubezpieczeń z siedzibą w Unii Europejskiej jakie są warunki wykonywania działalności przez taki zakład na terenie Polski. 
15;15. Jako radca prawny zakładu ubezpieczeń proszę ocenić zasadność roszczenia zgłoszonego na kanwie przedstawionego poniżej stanu faktycznego, przy uwzględnieniu problematyki ruchu pojazdu. Maciej Wroński  zaparkował samochód VW Lupo na parkingu pod blokiem i po wyłączeniu silnika udał się do mieszkania. Po 5 minutach wrócił na parking i zauważył, że jego samochód płonie. Próba gaszenia nie powiodła się, a co więcej - na skutek pożaru VW Lupo uległ uszkodzeniu zaparkowany obok samochód Skoda, którego właścicielem jest Jan Kowalski. Okazało się, że przyczyną pożaru VW Lupo było zwarcie przewodów elektrycznych. Samochód Macieja W. był objęty ubezpieczeniem w zakresie OC w Towarzystwie Ubezpieczeniowym „X”. Jan Kowalski zwrócił się do tego ubezpieczyciela z żądaniem wypłaty odszkodowania za uszkodzenia. 
16;16. Proszę wyjaśnić swojemu klientowi, na czym polega działalność reasekuracyjna oraz przedstawić podstawowe zasady i formy prowadzenia działalności reasekuracyjnej na terytorium Polski. 
17;17. Proszę udzielić swojemu klientowi informacji prawnej, wskazującej na czym polega pośrednictwo ubezpieczeniowe i przez kogo może być wykonywane. W informacji tej proszę m.in. porównać działalność agenta i multiagenta.
18;18. Proszę wyjaśnić swojemu klientowi zasadnicze różnice pomiędzy działalnością dwóch rodzajów pośredników ubezpieczeniowych: agenta i brokera.
19;19. Proszę wyjaśnić swojemu klientowi jak kształtuje się odpowiedzialność agenta prowadzącego działalność na rzecz (i) jednego i (ii) wielu zakładów ubezpieczeń, w tym samym dziale ubezpieczeń (multiagent). Proszę także wskazać, w jakich okolicznościach odpowiedzialność za agenta ponosi zakład ubezpieczeń.
20;20. Proszę wyjaśnić swojemu klientowi podstawowe zasady zawierania i wykonywania umów ubezpieczenia obowiązkowego, w szczególności z kim taką umowę może zawrzeć i w jakich okolicznościach może żądać jej zawarcia, a także jaka jest treść dokumentu potwierdzającego zawarcie takiej umowy. 
